cluster,predictor,value
3,prop_mot_motorcycle,0.6235802205987623
3,prop_mot_rail,0.96825540566657
3,prop_mot_van,-0.8201039702211357
3,prop_ind_agri,-0.6220327808374831
3,prop_ind_construction,-0.5475643326272348
3,prop_ind_edu_health,-0.2561120958695246
3,prop_ind_info_finance,0.31092097883291225
3,prop_ind_manufacturing,-0.42839845207487354
3,prop_ind_public,-0.07377687984241363
3,prop_ind_retail,0.4417979383856827
3,prop_ind_service,0.4952519413945348
3,prop_agri_workers,-0.39824250205525097
3,prop_employers,0.07687024393716561
3,prop_farmers,-0.5660639710664868
3,prop_higher_prof,0.06452093335185358
3,prop_lower_prof,-0.25909917470519045
3,prop_manual_skiled,-0.7334901044103661
3,prop_non_manual,0.3633387872999844
3,prop_own_account,-0.5573954122493042
